loops,existing_memory_kb,new_memory_kb
1000,2335960,2229068
1100,2566228,2438484
1200,2806996,2645592
1300,3036888,2850132
1400,3266804,3052040
1500,3503444,3252052
1600,3726736,3485908
1700,3956900,3644084
1800,4189776,3836900
1900,4416676,4027108
2000,4646692,4214644
2100,4876580,4400100
2200,5106468,4583140
2300,5355764,4763752
2400,5585772,4941768
2500,5815664,5117392
2600,6045944,5290932
2700,6276132,5461872
2800,6505892,5630592
2900,7001508,5796836
3000,7001512,5960276
3100,7196256,6121960
3200,7426156,6280932
3300,7656280,6437348
3400,7886168,6591720
3500,8116452,6968040
3600,8358908,6968012
3700,8576116,7039876
3800,8806540,7184312
3900,9036332,7326444
4000,9266704,7466504
4100,9496608,7603656
4200,9726864,7738712
4300,9956756,7871260
4400,10186552,8001280
4500,10416728,8129188
4600,10687740,8254716
4700,10917728,8377868
4800,11147880,8498576
4900,11377940,8616560
5000,11607732,8732320
