padding_size,existing_memory_kb,new_memory_kb
0,2335704,2229336
100,2657548,2537048
200,2932748,2800728
300,3254068,3108308
400,3529824,3371992
500,3805048,3635564
600,4080620,3899112
700,4401884,4207064
800,4677328,4470748
900,4952684,4734420
1000,5227912,4998104
1100,5549320,5305684
1200,5824684,5569148
1300,6100172,5832804
1400,6375496,6096724
1500,6696396,6404440
1600,6971616,6667976
1700,7246936,6931800
1800,7522524,7195480
1900,7844040,7503064
2000,8119004,7766744
2100,8394868,8030552
2200,8670128,8294236
2300,8991552,8601812
2400,9266904,8865496
2500,9542572,9129012
2600,9817852,9392852
2700,10139296,9700332
2800,10414412,9964248
2900,10690148,10227840
3000,10965440,10491428
3100,11286612,10799192
3200,11562104,11062876
3300,11837588,11326376
3400,12112684,11590236
3500,12434400,11897952
3600,12709732,12161404
3700,12985332,12425308
3800,13260364,12688756
3900,13582068,12996696
4000,13857372,13260152
