branch,loops,padding_size,existing_memory_kb,existing_status,new_memory_kb,new_status
10,1000,0,779456,ok,124980,ok
10,1000,100,884568,ok,135484,ok
10,1000,200,975852,ok,144556,ok
10,1000,300,1082420,ok,155280,ok
10,1000,400,1173456,ok,164288,ok
10,1000,500,1264508,ok,173388,ok
10,1000,600,1355696,ok,182336,ok
10,1000,700,1461668,ok,193060,ok
10,1000,800,1552916,ok,202196,ok
10,1000,900,1644100,ok,211228,ok
10,1000,1000,1735044,ok,220356,ok
10,1000,1100,1840896,ok,231092,ok
10,1000,1200,1932076,ok,240236,ok
10,1000,1300,2022916,ok,249424,ok
10,1000,1400,2114084,ok,258548,ok
10,1000,1500,2220388,ok,269040,ok
10,1000,1600,2311376,ok,278244,ok
10,1000,1700,2402028,ok,287404,ok
10,1000,1800,2493144,ok,296572,ok
10,1000,1900,2599348,ok,307092,ok
10,1000,2000,2690392,ok,316184,ok
10,1000,2100,2781384,ok,325416,ok
10,1000,2200,2872328,ok,334580,ok
10,1000,2300,2978732,ok,345108,ok
10,1000,2400,3069788,ok,354268,ok
10,1000,2500,3160608,ok,363428,ok
10,1000,2600,3251596,ok,372588,ok
10,1000,2700,3357572,ok,383120,ok
10,1000,2800,3447440,ok,392280,ok
10,1000,2900,3538556,ok,401364,ok
10,1000,3000,3629804,ok,410596,ok
10,1000,3100,3735780,ok,421200,ok
10,1000,3200,3826956,ok,430416,ok
10,1000,3300,3918080,ok,439448,ok
10,1000,3400,4009152,ok,448480,ok
10,1000,3500,4115456,ok,459140,ok
10,1000,3600,4205968,ok,468432,ok
10,1000,3700,4297448,ok,477376,ok
10,1000,3800,4388368,ok,486620,ok
10,1000,3900,4494836,ok,497284,ok
10,1000,4000,4585552,ok,506440,ok
10,1100,0,881344,ok,176840,ok
10,1100,100,995460,ok,188408,ok
10,1100,200,1093828,ok,198456,ok
10,1100,300,1208624,ok,209984,ok
10,1100,400,1306804,ok,220060,ok
10,1100,500,1405184,ok,229968,ok
10,1100,600,1503532,ok,240024,ok
